train loss: 1.2341, train acc: 0.6326
Warning: failed to save checkpoint at epoch 90: name 'train_new_save_path' is not defined
epoch  91 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.23397, 
Warning: failed to save checkpoint at epoch 91: name 'train_new_save_path' is not defined
epoch  92 summary: dyn_dyn_cos_loss: 0.00467, dyn_sta_cos_loss: 0.00167, total_cos_loss : 0.00167, vocab_cro_loss : 1.23118, 
Warning: failed to save checkpoint at epoch 92: name 'train_new_save_path' is not defined
epoch  93 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.22866, 
Warning: failed to save checkpoint at epoch 93: name 'train_new_save_path' is not defined
epoch  94 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.21590, 
Warning: failed to save checkpoint at epoch 94: name 'train_new_save_path' is not defined
epoch  95 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.22074, 
Warning: failed to save checkpoint at epoch 95: name 'train_new_save_path' is not defined
epoch  96 summary: dyn_dyn_cos_loss: 0.00467, dyn_sta_cos_loss: 0.00166, total_cos_loss : 0.00166, vocab_cro_loss : 1.21522, 
Warning: failed to save checkpoint at epoch 96: name 'train_new_save_path' is not defined
epoch  97 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.23859, 
Warning: failed to save checkpoint at epoch 97: name 'train_new_save_path' is not defined
epoch  98 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.23345, 
Warning: failed to save checkpoint at epoch 98: name 'train_new_save_path' is not defined
epoch  99 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.21516, 
Warning: failed to save checkpoint at epoch 99: name 'train_new_save_path' is not defined
epoch 100 summary: dyn_dyn_cos_loss: 0.00462, dyn_sta_cos_loss: 0.00151, total_cos_loss : 0.00151, vocab_cro_loss : 1.20715, 
train loss: 1.2329, train acc: 0.6313
Warning: failed to save checkpoint at epoch 100: name 'train_new_save_path' is not defined
epoch 101 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.23283, 
Warning: failed to save checkpoint at epoch 101: name 'train_new_save_path' is not defined
epoch 102 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.23714, 
Warning: failed to save checkpoint at epoch 102: name 'train_new_save_path' is not defined
epoch 103 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.21944, 
Warning: failed to save checkpoint at epoch 103: name 'train_new_save_path' is not defined
epoch 104 summary: dyn_dyn_cos_loss: 0.00455, dyn_sta_cos_loss: 0.00146, total_cos_loss : 0.00146, vocab_cro_loss : 1.20638, 
Warning: failed to save checkpoint at epoch 104: name 'train_new_save_path' is not defined
epoch 105 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.22505, 
Warning: failed to save checkpoint at epoch 105: name 'train_new_save_path' is not defined
epoch 106 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.21754, 
Warning: failed to save checkpoint at epoch 106: name 'train_new_save_path' is not defined
epoch 107 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.20210, 
Warning: failed to save checkpoint at epoch 107: name 'train_new_save_path' is not defined
epoch 108 summary: dyn_dyn_cos_loss: 0.00434, dyn_sta_cos_loss: 0.00146, total_cos_loss : 0.00146, vocab_cro_loss : 1.19415, 
Warning: failed to save checkpoint at epoch 108: name 'train_new_save_path' is not defined
epoch 109 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.20865, 
Warning: failed to save checkpoint at epoch 109: name 'train_new_save_path' is not defined
epoch 110 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.19655, 
train loss: 1.1867, train acc: 0.6440
Warning: failed to save checkpoint at epoch 110: name 'train_new_save_path' is not defined
epoch 111 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.18666, 
Warning: failed to save checkpoint at epoch 111: name 'train_new_save_path' is not defined
epoch 112 summary: dyn_dyn_cos_loss: 0.00413, dyn_sta_cos_loss: 0.00142, total_cos_loss : 0.00142, vocab_cro_loss : 1.18568, 
Warning: failed to save checkpoint at epoch 112: name 'train_new_save_path' is not defined
epoch 113 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.19097, 
Warning: failed to save checkpoint at epoch 113: name 'train_new_save_path' is not defined
epoch 114 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.17908, 
Warning: failed to save checkpoint at epoch 114: name 'train_new_save_path' is not defined
epoch 115 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.17111, 
Warning: failed to save checkpoint at epoch 115: name 'train_new_save_path' is not defined
epoch 116 summary: dyn_dyn_cos_loss: 0.00390, dyn_sta_cos_loss: 0.00136, total_cos_loss : 0.00136, vocab_cro_loss : 1.16701, 
Warning: failed to save checkpoint at epoch 116: name 'train_new_save_path' is not defined
epoch 117 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.18551, 
